index	case	outcome	status	exit_code	duration_ms	message
0	KHR-GL46.CommonBugs.CommonBug_GetProgramivActiveUniformBlockMaxNameLength	pass	Pass	0	624	Pass
1	KHR-GL46.CommonBugs.CommonBug_InputVariablesCannotBeModified	pass	Pass	0	405	Pass
2	KHR-GL46.CommonBugs.CommonBug_InvalidUseCasesForAllNotFuncsAndExclMarkOp	pass	Pass	0	294	Pass
3	KHR-GL46.CommonBugs.CommonBug_InvalidVSInputs	pass	Pass	0	292	Pass
4	KHR-GL46.CommonBugs.CommonBug_ParenthesisInLayoutQualifierIntegerValue	pass	Pass	0	242	Pass
5	KHR-GL46.CommonBugs.CommonBug_PerVertexValidation	pass	Pass	0	396	Pass
6	KHR-GL46.CommonBugs.CommonBug_ReservedNames	timeout		timeout	45293	
7	KHR-GL46.CommonBugs.CommonBug_SparseBuffersWithCopyOps	pass	Pass	0	297	Pass
8	KHR-GL46.aggressive_optimizations.cos_float_frag	pass	Pass	0	517	Pass
9	KHR-GL46.aggressive_optimizations.cos_float_vert	pass	Pass	0	460	Pass
10	KHR-GL46.aggressive_optimizations.cos_vec2_frag	pass	Pass	0	517	Pass
11	KHR-GL46.aggressive_optimizations.cos_vec2_vert	pass	Pass	0	515	Pass
12	KHR-GL46.aggressive_optimizations.cos_vec3_frag	pass	Pass	0	509	Pass
13	KHR-GL46.aggressive_optimizations.cos_vec3_vert	pass	Pass	0	513	Pass
14	KHR-GL46.aggressive_optimizations.sin_float_frag	pass	Pass	0	517	Pass
15	KHR-GL46.aggressive_optimizations.sin_float_vert	pass	Pass	0	517	Pass
16	KHR-GL46.aggressive_optimizations.sin_vec2_frag	pass	Pass	0	462	Pass
17	KHR-GL46.aggressive_optimizations.sin_vec2_vert	pass	Pass	0	517	Pass
18	KHR-GL46.aggressive_optimizations.sin_vec3_frag	pass	Pass	0	461	Pass
19	KHR-GL46.aggressive_optimizations.sin_vec3_vert	pass	Pass	0	516	Pass
20	KHR-GL46.api.coverage	pass	Pass	0	242	Pass
21	KHR-GL46.bind_image_texture.single_layer	pass	Pass	0	517	Pass
22	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_COLORBURN_KHR	not_supported	NotSupported	0	183	GL_KHR_blend_equation_advanced
23	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_COLORDODGE_KHR	not_supported	NotSupported	0	186	GL_KHR_blend_equation_advanced
24	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_DARKEN_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
25	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_DIFFERENCE_KHR	not_supported	NotSupported	0	240	GL_KHR_blend_equation_advanced
26	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_EXCLUSION_KHR	not_supported	NotSupported	0	243	GL_KHR_blend_equation_advanced
27	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_HARDLIGHT_KHR	not_supported	NotSupported	0	239	GL_KHR_blend_equation_advanced
28	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_HSL_COLOR_KHR	not_supported	NotSupported	0	239	GL_KHR_blend_equation_advanced
29	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_HSL_HUE_KHR	not_supported	NotSupported	0	187	GL_KHR_blend_equation_advanced
30	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_HSL_LUMINOSITY_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
31	KHR-GL46.blend_equation_advanced.BlendEquationSeparate.GL_HSL_SATURATION_KHR	not_supported	NotSupported	0	242	GL_KHR_blend_equation_advanced
